,BABA,MU US Equity,H
0,183.6,42.41,369.75
1,182.45,41.32,370.5
2,177.73,39.33,370.25
3,177.03,39.22,372
4,178.08,40.31,371
5,178.77,40.56,369.5
6,176.26,41.62,365.5
7,181.5,44,365.75
8,181.28,40.06,365.25
9,182.14,40.37,365.75
10,181.83,39.62,365
11,180.97,39.52,364
12,180.36,38.4,362.75
13,180.7,38.81,364.25
14,180.63,39.24,363
15,180.41,39.02,361.25
16,175.03,38.66,358.5
17,177.32,37.83,360.75
18,184.17,37.93,362.5
19,185,39.99,364
20,187.25,41.06,363.75
21,183.88,41.59,363
22,183.03,40.88,365
23,184.58,41.3,366.25
24,183.54,42.94,368.5
25,183.25,42.75,369.25
26,176.92,42.56,366.25
27,171.66,41.52,365.25
28,170.71,42.21,363
29,170.18,41.95,364.75
30,166.15,41.98,365
31,168.38,42.21,363.5
32,169.4,41.68,362.5
33,168.71,40.4,363.75
34,167.45,38.57,363.75
35,167.36,38.58,364
36,166.96,39.37,365
37,171.52,41.52,362.5
38,171.83,39.34,363.75
39,166.7,39.46,363.75
40,167.97,39.59,364
41,168.49,38.21,363
42,166.82,38.25,363.5
43,156.88,37.38,362.75
44,158.92,38.07,361
45,159.21,38.97,361
46,155.86,36.6,361.5
47,152.03,34.24,363.25
48,152.15,33.92,362.75
49,157.02,35.76,360.75
50,155.97,33.87,362
51,154.84,33.56,361
52,150.88,33.97,358.75
53,149.27,34.67,357.25
54,151.32,36.01,357.25
55,151.69,35.9,358
56,151.92,35.47,358.75
57,146.79,33.73,360.25
58,143.1,34,359.5
59,139.75,32.69,359
60,130.6,31,358.75
61,136.7,32.75,358.75
62,137.07,31.72,357.5
63,139.09,31.56,355.75
64,138.45,31.93,357.5
65,138,30.89,359.75
66,131.89,29.03,360.5
67,132,30.32,357.5
68,135.11,31.28,359.75
69,137.14,31.4,361
70,140.82,34.12,361.5
71,143.98,33.89,358.75
72,149,34.18,360.75
73,151.48,35,361
74,151.5,36.03,361.75
75,151.83,35.21,362.25
76,151.43,34.8,364
77,153.06,35.31,365
78,155.83,37.67,365.5
79,158.34,36.86,366
80,163.74,40.04,366.75
81,160.86,38.55,366.5
82,156.28,37.91,366.5
83,159.34,38.73,365.75
84,156.46,36.99,367.5
85,156.01,36.54,367
86,150.33,36.41,368.75
87,149.41,36.38,368.5
88,145.98,36.11,368.5
89,149.53,36.82,369.75
90,154.1,39.44,369
91,156.22,39.91,369.5
92,150.44,38.03,369.75
93,146.98,37.85,369.25
94,142.82,37.44,368.5
95,144.85,39.11,366.5
96,148.99,40.44,367
